# Latitude, Longitude, Depth (km), Magnitude, NP1 Strike, NP1 Dip, NP1 rake, NP2 Strike, NP2 Dip, NP2 Rake
3.199766669999999991e+01,-1.150016667000000012e+02,6.980999999999999872e+00,5.700000000000000178e+00,1.410000000000000000e+02,5.900000000000000000e+01,-1.490000000000000000e+02,3.400000000000000000e+01,6.400000000000000000e+01,-3.500000000000000000e+01
3.231883330000000143e+01,-1.153215000000000003e+02,7.006999999999999673e+00,5.700000000000000178e+00,1.900000000000000000e+02,6.600000000000000000e+01,-4.000000000000000000e+00,2.820000000000000000e+02,8.700000000000000000e+01,-1.560000000000000000e+02
4.080983330000000109e+01,-1.245520000000000067e+02,1.719500000000000028e+01,5.200000000000000178e+00,3.320000000000000000e+02,7.600000000000000000e+01,1.780000000000000000e+02,6.300000000000000000e+01,8.800000000000000000e+01,1.400000000000000000e+01
3.570049999999999812e+01,-1.211004999999999967e+02,8.381999999999999673e+00,6.500000000000000000e+00,2.960000000000000000e+02,3.200000000000000000e+01,8.800000000000000000e+01,1.190000000000000000e+02,5.800000000000000000e+01,9.200000000000000000e+01
4.357099999999999795e+01,-1.103829999999999956e+02,3.100000000000000089e+00,5.000000000000000000e+00,1.620000000000000000e+02,3.200000000000000000e+01,-1.120000000000000000e+02,8.000000000000000000e+00,6.000000000000000000e+01,-7.700000000000000000e+01
3.800950000000000273e+01,-1.186784999999999997e+02,3.354999999999999982e+00,5.400000000000000355e+00,3.300000000000000000e+02,7.600000000000000000e+01,-1.710000000000000000e+02,2.380000000000000000e+02,8.100000000000000000e+01,-1.500000000000000000e+01
3.581816669999999903e+01,-1.203659999999999997e+02,8.135999999999999233e+00,5.969999999999999751e+00,3.210000000000000000e+02,7.200000000000000000e+01,-1.780000000000000000e+02,2.300000000000000000e+02,8.800000000000000000e+01,-1.800000000000000000e+01
3.538983329999999938e+01,-1.186235000000000070e+02,2.787999999999999812e+00,5.030000000000000249e+00,2.930000000000000000e+02,7.100000000000000000e+01,-1.690000000000000000e+02,1.990000000000000000e+02,7.900000000000000000e+01,-1.900000000000000000e+01
3.471500000000000341e+01,-1.109699999999999989e+02,5.000000000000000000e+00,5.099999999999999645e+00,nan,nan,nan,nan,nan,nan
3.353249999999999886e+01,-1.165666666999999990e+02,1.305100000000000016e+01,5.200000000000000178e+00,3.050000000000000000e+02,5.300000000000000000e+01,-1.790000000000000000e+02,2.140000000000000000e+02,8.900000000000000000e+01,-3.700000000000000000e+01
4.536500000000000199e+01,-1.126149999999999949e+02,1.290000000000000036e+01,5.599999999999999645e+00,1.000000000000000000e+00,4.500000000000000000e+01,-4.400000000000000000e+01,1.250000000000000000e+02,6.100000000000000000e+01,-1.260000000000000000e+02
3.694700000000000273e+01,-1.048329999999999984e+02,5.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,4.400000000000000000e+01,-7.100000000000000000e+01,1.580000000000000000e+02,4.900000000000000000e+01,-1.070000000000000000e+02
3.315333329999999989e+01,-1.156463332999999949e+02,1.207000000000000073e+00,5.080000000000000071e+00,3.350000000000000000e+02,7.600000000000000000e+01,-1.670000000000000000e+02,2.410000000000000000e+02,7.700000000000000000e+01,-1.400000000000000000e+01
3.230666670000000096e+01,-1.152278333000000003e+02,6.006000000000000227e+00,5.370000000000000107e+00,3.200000000000000000e+01,4.400000000000000000e+01,-8.900000000000000000e+01,2.100000000000000000e+02,4.600000000000000000e+01,-9.100000000000000000e+01
4.028066669999999760e+01,-1.244331667000000010e+02,2.006400000000000006e+01,5.000000000000000000e+00,1.750000000000000000e+02,5.500000000000000000e+01,-7.000000000000000000e+01,3.230000000000000000e+02,4.000000000000000000e+01,-1.160000000000000000e+02
4.064283329999999950e+01,-1.248628333000000055e+02,-5.330000000000000293e-01,5.400000000000000355e+00,3.310000000000000000e+02,8.500000000000000000e+01,-1.790000000000000000e+02,2.410000000000000000e+02,8.900000000000000000e+01,-5.000000000000000000e+00
4.064200000000000301e+01,-1.248700000000000045e+02,4.956999999999999851e+00,5.400000000000000355e+00,3.310000000000000000e+02,8.500000000000000000e+01,-1.790000000000000000e+02,2.410000000000000000e+02,8.900000000000000000e+01,-5.000000000000000000e+00
4.111549999999999727e+01,-1.248245000000000005e+02,2.563000000000000167e+00,5.000000000000000000e+00,2.180000000000000000e+02,8.500000000000000000e+01,3.000000000000000000e+00,1.280000000000000000e+02,8.700000000000000000e+01,1.750000000000000000e+02
3.743350000000000222e+01,-1.217743332999999950e+02,9.740999999999999659e+00,5.450000000000000178e+00,3.240000000000000000e+02,8.100000000000000000e+01,1.760000000000000000e+02,5.400000000000000000e+01,8.600000000000000000e+01,9.000000000000000000e+00
3.235949999999999704e+01,-1.152773332999999951e+02,6.001000000000000334e+00,5.099999999999999645e+00,2.260000000000000000e+02,7.900000000000000000e+01,3.000000000000000000e+00,1.360000000000000000e+02,8.700000000000000000e+01,1.690000000000000000e+02
3.232716669999999937e+01,-1.152568332999999967e+02,6.001000000000000334e+00,5.099999999999999645e+00,2.420000000000000000e+02,6.500000000000000000e+01,2.000000000000000000e+00,1.510000000000000000e+02,8.800000000000000000e+01,1.550000000000000000e+02
4.114439999999999742e+01,-1.148721000000000032e+02,7.900000000000000355e+00,5.900000000000000355e+00,3.000000000000000000e+01,4.000000000000000000e+01,-8.600000000000000000e+01,2.050000000000000000e+02,5.100000000000000000e+01,-9.300000000000000000e+01
3.952309999999999945e+01,-1.199393000000000029e+02,2.799999999999999822e+00,5.099999999999999645e+00,3.280000000000000000e+02,8.600000000000000000e+01,1.800000000000000000e+02,5.800000000000000000e+01,9.000000000000000000e+01,4.000000000000000000e+00
4.083583329999999734e+01,-1.234968333000000058e+02,2.775499999999999901e+01,5.400000000000000355e+00,1.550000000000000000e+02,4.000000000000000000e+01,-1.230000000000000000e+02,1.500000000000000000e+01,5.700000000000000000e+01,-6.500000000000000000e+01
3.394850000000000279e+01,-1.177663332999999994e+02,1.550300000000000011e+01,5.440000000000000391e+00,4.400000000000000000e+01,5.500000000000000000e+01,2.900000000000000000e+01,2.960000000000000000e+02,6.700000000000000000e+01,1.410000000000000000e+02
3.481333329999999648e+01,-1.164188333000000029e+02,6.370000000000000107e+00,5.059999999999999609e+00,2.530000000000000000e+02,8.300000000000000000e+01,6.000000000000000000e+00,1.620000000000000000e+02,8.400000000000000000e+01,1.730000000000000000e+02
4.065200000000000102e+01,-1.246924999999999955e+02,2.873699999999999832e+01,6.500000000000000000e+00,2.330000000000000000e+02,8.500000000000000000e+01,0.000000000000000000e+00,1.430000000000000000e+02,9.000000000000000000e+01,1.750000000000000000e+02
